software,spearman,spearman_pvalue,>=R2
camel-1.0,0.164876845,0.05,0.95
camel-1.0,0.149711665,0.05,0.9
camel-1.0,0.164609111,0.01,0.85
camel-1.0,0.15305353,0.05,0.8
camel-1.0,0.14497524,0.05,0.75
camel-1.0,0.142559185,0.05,0.7
camel-1.0,0.161331736,0.01,0.65
camel-1.0,0.161530849,0.01,0.6
camel-1.0,0.161090808,0.01,0.55
camel-1.0,0.161090808,0.01,0.5
camel-1.0,0.161090808,0.01,0.45
camel-1.0,0.161090808,0.01,0.4
camel-1.0,0.161090808,0.01,0.35
camel-1.0,0.161090808,0.01,0.3
camel-1.0,0.161090808,0.01,0.25
camel-1.0,0.161090808,0.01,0.2
camel-1.0,0.161090808,0.01,0.15
camel-1.0,0.161090808,0.01,0.1
camel-1.0,0.161090808,0.01,0.05
camel-1.0,0.162405414,0.01,0
ivy-2.0,0.169534906,0.05,0.95
ivy-2.0,0.198098006,0.01,0.9
ivy-2.0,0.243056815,0.01,0.85
ivy-2.0,0.262692758,0.01,0.8
ivy-2.0,0.28803876,0.01,0.75
ivy-2.0,0.300633904,0.01,0.7
ivy-2.0,0.301002394,0.01,0.65
ivy-2.0,0.301002394,0.01,0.6
ivy-2.0,0.301002394,0.01,0.55
ivy-2.0,0.300197201,0.01,0.5
ivy-2.0,0.300197201,0.01,0.45
ivy-2.0,0.300197201,0.01,0.4
ivy-2.0,0.300197201,0.01,0.35
ivy-2.0,0.300197201,0.01,0.3
ivy-2.0,0.300197201,0.01,0.25
ivy-2.0,0.300197201,0.01,0.2
ivy-2.0,0.300197201,0.01,0.15
ivy-2.0,0.300197201,0.01,0.1
ivy-2.0,0.300197201,0.01,0.05
ivy-2.0,0.301189438,0.01,0
jedit-4.2,0.284700494,0.01,0.95
jedit-4.2,0.271167782,0.01,0.9
jedit-4.2,0.321506709,0.01,0.85
jedit-4.2,0.337586276,0.01,0.8
jedit-4.2,0.332577298,0.01,0.75
jedit-4.2,0.331752576,0.01,0.7
jedit-4.2,0.339292853,0.01,0.65
jedit-4.2,0.352713779,0.01,0.6
jedit-4.2,0.352713779,0.01,0.55
jedit-4.2,0.352713779,0.01,0.5
jedit-4.2,0.352713779,0.01,0.45
jedit-4.2,0.352713779,0.01,0.4
jedit-4.2,0.352713779,0.01,0.35
jedit-4.2,0.352713779,0.01,0.3
jedit-4.2,0.352713779,0.01,0.25
jedit-4.2,0.352713779,0.01,0.2
jedit-4.2,0.352713779,0.01,0.15
jedit-4.2,0.352713779,0.01,0.1
jedit-4.2,0.352713779,0.01,0.05
jedit-4.2,0.352088613,0.01,0
lucene-2.2,0.252339911,0.01,0.95
lucene-2.2,0.241675543,0.01,0.9
lucene-2.2,0.301184197,0.01,0.85
lucene-2.2,0.305868782,0.01,0.8
lucene-2.2,0.312962551,0.01,0.75
lucene-2.2,0.313263972,0.01,0.7
lucene-2.2,0.313263972,0.01,0.65
lucene-2.2,0.313263972,0.01,0.6
lucene-2.2,0.313263972,0.01,0.55
lucene-2.2,0.313263972,0.01,0.5
lucene-2.2,0.313263972,0.01,0.45
lucene-2.2,0.313263972,0.01,0.4
lucene-2.2,0.313263972,0.01,0.35
lucene-2.2,0.313263972,0.01,0.3
lucene-2.2,0.313263972,0.01,0.25
lucene-2.2,0.313263972,0.01,0.2
lucene-2.2,0.313263972,0.01,0.15
lucene-2.2,0.313263972,0.01,0.1
lucene-2.2,0.313263972,0.01,0.05
lucene-2.2,0.31526353,0.01,0
poi-2.0,0.136388572,None,0.95
poi-2.0,0.194676591,0.01,0.9
poi-2.0,0.215873927,0.01,0.85
poi-2.0,0.215294795,0.01,0.8
poi-2.0,0.207350551,0.01,0.75
poi-2.0,0.214797009,0.01,0.7
poi-2.0,0.21122833,0.01,0.65
poi-2.0,0.21122833,0.01,0.6
poi-2.0,0.21122833,0.01,0.55
poi-2.0,0.21122833,0.01,0.5
poi-2.0,0.21122833,0.01,0.45
poi-2.0,0.21122833,0.01,0.4
poi-2.0,0.21122833,0.01,0.35
poi-2.0,0.21122833,0.01,0.3
poi-2.0,0.21122833,0.01,0.25
poi-2.0,0.212897791,0.01,0.2
poi-2.0,0.212897791,0.01,0.15
poi-2.0,0.212897791,0.01,0.1
poi-2.0,0.212897791,0.01,0.05
poi-2.0,0.214850178,0.01,0
synapse-1.1,0.246315358,0.01,0.95
synapse-1.1,0.301630385,0.01,0.9
synapse-1.1,0.325623737,0.01,0.85
synapse-1.1,0.341477206,0.01,0.8
synapse-1.1,0.35427361,0.01,0.75
synapse-1.1,0.353828594,0.01,0.7
