software,spearman,spearman_pvalue,>=R2
ant-1.7,0.305195438,0.01,0
camel-1.0,0.155519165,0.05,0.95
camel-1.0,0.109116488,None,0.9
camel-1.0,0.11936599,None,0.85
camel-1.0,0.135411813,0.05,0.8
camel-1.0,0.124416485,0.05,0.75
camel-1.0,0.119647078,0.05,0.7
camel-1.0,0.135570445,0.05,0.65
camel-1.0,0.133800936,0.05,0.6
camel-1.0,0.134349148,0.05,0.55
camel-1.0,0.134349148,0.05,0.5
camel-1.0,0.134349148,0.05,0.45
camel-1.0,0.134349148,0.05,0.4
camel-1.0,0.134349148,0.05,0.35
camel-1.0,0.134349148,0.05,0.3
camel-1.0,0.134349148,0.05,0.25
camel-1.0,0.134349148,0.05,0.2
camel-1.0,0.134349148,0.05,0.15
camel-1.0,0.134349148,0.05,0.1
camel-1.0,0.134349148,0.05,0.05
camel-1.0,0.137996566,0.05,0
ivy-2.0,0.172445521,0.05,0.95
ivy-2.0,0.23282105,0.01,0.9
ivy-2.0,0.261360242,0.01,0.85
ivy-2.0,0.268059991,0.01,0.8
ivy-2.0,0.276530329,0.01,0.75
ivy-2.0,0.269522238,0.01,0.7
ivy-2.0,0.267993763,0.01,0.65
ivy-2.0,0.267993763,0.01,0.6
ivy-2.0,0.267993763,0.01,0.55
ivy-2.0,0.268211098,0.01,0.5
ivy-2.0,0.268211098,0.01,0.45
ivy-2.0,0.268211098,0.01,0.4
ivy-2.0,0.268211098,0.01,0.35
ivy-2.0,0.268211098,0.01,0.3
ivy-2.0,0.268211098,0.01,0.25
ivy-2.0,0.268211098,0.01,0.2
ivy-2.0,0.268211098,0.01,0.15
ivy-2.0,0.268211098,0.01,0.1
ivy-2.0,0.268211098,0.01,0.05
ivy-2.0,0.273723873,0.01,0
jedit-4.2,0.186012904,0.01,0.95
jedit-4.2,0.174787018,0.01,0.9
jedit-4.2,0.219185878,0.01,0.85
jedit-4.2,0.216380055,0.01,0.8
jedit-4.2,0.2199498,0.01,0.75
jedit-4.2,0.220817203,0.01,0.7
jedit-4.2,0.227527893,0.01,0.65
jedit-4.2,0.243259743,0.01,0.6
jedit-4.2,0.243259743,0.01,0.55
jedit-4.2,0.243259743,0.01,0.5
jedit-4.2,0.243259743,0.01,0.45
jedit-4.2,0.243259743,0.01,0.4
jedit-4.2,0.243259743,0.01,0.35
jedit-4.2,0.243259743,0.01,0.3
jedit-4.2,0.243259743,0.01,0.25
jedit-4.2,0.243259743,0.01,0.2
jedit-4.2,0.243259743,0.01,0.15
jedit-4.2,0.243259743,0.01,0.1
jedit-4.2,0.243259743,0.01,0.05
jedit-4.2,0.244079816,0.01,0
lucene-2.2,0.247092821,0.01,0.95
lucene-2.2,0.270985833,0.01,0.9
lucene-2.2,0.299142095,0.01,0.85
lucene-2.2,0.317643042,0.01,0.8
lucene-2.2,0.307384302,0.01,0.75
lucene-2.2,0.305042176,0.01,0.7
lucene-2.2,0.305042176,0.01,0.65
lucene-2.2,0.305042176,0.01,0.6
lucene-2.2,0.305042176,0.01,0.55
lucene-2.2,0.305042176,0.01,0.5
lucene-2.2,0.305042176,0.01,0.45
lucene-2.2,0.305042176,0.01,0.4
lucene-2.2,0.305042176,0.01,0.35
lucene-2.2,0.305042176,0.01,0.3
lucene-2.2,0.305042176,0.01,0.25
lucene-2.2,0.305042176,0.01,0.2
lucene-2.2,0.305042176,0.01,0.15
lucene-2.2,0.305042176,0.01,0.1
lucene-2.2,0.305042176,0.01,0.05
lucene-2.2,0.310625063,0.01,0
poi-2.0,-0.050021757,None,0.95
poi-2.0,-0.052100076,None,0.9
poi-2.0,-0.048277042,None,0.85
poi-2.0,-0.028314769,None,0.8
poi-2.0,-0.029022223,None,0.75
poi-2.0,-0.025175577,None,0.7
poi-2.0,-0.025898159,None,0.65
poi-2.0,-0.025898159,None,0.6
poi-2.0,-0.025898159,None,0.55
poi-2.0,-0.025898159,None,0.5
poi-2.0,-0.025898159,None,0.45
poi-2.0,-0.025898159,None,0.4
poi-2.0,-0.025898159,None,0.35
poi-2.0,-0.025898159,None,0.3
poi-2.0,-0.025898159,None,0.25
poi-2.0,-0.041063605,None,0.2
poi-2.0,-0.041063605,None,0.15
poi-2.0,-0.041063605,None,0.1
poi-2.0,-0.041063605,None,0.05
poi-2.0,-0.036322692,None,0
synapse-1.1,0.175302444,0.05,0.95
synapse-1.1,0.096859239,None,0.9
synapse-1.1,0.11813838,None,0.85
synapse-1.1,0.166038224,0.05,0.8
synapse-1.1,0.167130712,0.05,0.75
synapse-1.1,0.16803961,0.05,0.7
synapse-1.1,0.179424215,0.05,0.65
synapse-1.1,0.179424215,0.05,0.6
synapse-1.1,0.179424215,0.05,0.55
synapse-1.1,0.179424215,0.05,0.5
synapse-1.1,0.179424215,0.05,0.45
synapse-1.1,0.179424215,0.05,0.4
synapse-1.1,0.179424215,0.05,0.35
synapse-1.1,0.179424215,0.05,0.3
synapse-1.1,0.179424215,0.05,0.25
synapse-1.1,0.179424215,0.05,0.2
synapse-1.1,0.179424215,0.05,0.15
synapse-1.1,0.179424215,0.05,0.1
synapse-1.1,0.179424215,0.05,0.05
synapse-1.1,0.138456665,None,0
xerces-1.2,0.07231389,None,0.95
xerces-1.2,0.070497983,None,0.9
xerces-1.2,0.061685657,None,0.85
xerces-1.2,0.072359612,None,0.8
xerces-1.2,0.082686314,None,0.75
xerces-1.2,0.082451445,None,0.7
xerces-1.2,0.081619389,None,0.65
