software,spearman,spearman_pvalue,>=R2
Android,0.135635851,None,0.95
Android,0.195660265,None,0.9
Android,0.266853218,None,0.85
Android,0.294226074,0.05,0.8
Android,0.294226074,0.05,0.75
Android,0.294226074,0.05,0.7
Android,0.294226074,0.05,0.65
Android,0.294226074,0.05,0.6
Android,0.294226074,0.05,0.55
Android,0.294226074,0.05,0.5
Android,0.294226074,0.05,0.45
Android,0.294226074,0.05,0.4
Android,0.294226074,0.05,0.35
Android,0.294226074,0.05,0.3
Android,0.294226074,0.05,0.25
Android,0.294226074,0.05,0.2
Android,0.294226074,0.05,0.15
Android,0.294226074,0.05,0.1
Android,0.294226074,0.05,0.05
Android,0.293932028,0.05,0
hazelcast-3.3,0.135300424,0.01,0.95
hazelcast-3.3,0.128684664,0.01,0.9
hazelcast-3.3,0.127099091,0.01,0.85
hazelcast-3.3,0.124393742,0.01,0.8
hazelcast-3.3,0.121091542,0.01,0.75
hazelcast-3.3,0.11551042,0.01,0.7
hazelcast-3.3,0.114314126,0.01,0.65
hazelcast-3.3,0.11170789,0.01,0.6
hazelcast-3.3,0.113853678,0.01,0.55
hazelcast-3.3,0.113853678,0.01,0.5
hazelcast-3.3,0.113853678,0.01,0.45
hazelcast-3.3,0.113853678,0.01,0.4
hazelcast-3.3,0.113853678,0.01,0.35
hazelcast-3.3,0.11397013,0.01,0.3
hazelcast-3.3,0.11397013,0.01,0.25
hazelcast-3.3,0.11397013,0.01,0.2
hazelcast-3.3,0.11397013,0.01,0.15
hazelcast-3.3,0.11397013,0.01,0.1
hazelcast-3.3,0.11397013,0.01,0.05
hazelcast-3.3,0.115866188,0.01,0
JUnit,0.107072994,None,0.95
JUnit,0.088685405,None,0.9
JUnit,0.115150709,None,0.85
JUnit,0.109716626,None,0.8
JUnit,0.109716626,None,0.75
JUnit,0.103532235,None,0.7
JUnit,0.103532235,None,0.65
JUnit,0.103532235,None,0.6
JUnit,0.103532235,None,0.55
JUnit,0.103532235,None,0.5
JUnit,0.103532235,None,0.45
JUnit,0.103532235,None,0.4
JUnit,0.103532235,None,0.35
JUnit,0.103532235,None,0.3
JUnit,0.103532235,None,0.25
JUnit,0.103532235,None,0.2
JUnit,0.103532235,None,0.15
JUnit,0.103532235,None,0.1
JUnit,0.103532235,None,0.05
JUnit,0.114275424,None,0
mapdb-0.9.6,0.410925568,0.01,0.95
mapdb-0.9.6,0.31692623,0.01,0.9
mapdb-0.9.6,0.305835817,0.01,0.85
mapdb-0.9.6,0.229551722,0.05,0.8
mapdb-0.9.6,0.220384003,0.05,0.75
mapdb-0.9.6,0.191940668,None,0.7
mapdb-0.9.6,0.195515499,None,0.65
mapdb-0.9.6,0.195515499,None,0.6
mapdb-0.9.6,0.195515499,None,0.55
mapdb-0.9.6,0.195515499,None,0.5
mapdb-0.9.6,0.195515499,None,0.45
mapdb-0.9.6,0.195515499,None,0.4
mapdb-0.9.6,0.195515499,None,0.35
mapdb-0.9.6,0.195515499,None,0.3
mapdb-0.9.6,0.195515499,None,0.25
mapdb-0.9.6,0.195515499,None,0.2
mapdb-0.9.6,0.195515499,None,0.15
mapdb-0.9.6,0.195515499,None,0.1
mapdb-0.9.6,0.195515499,None,0.05
mapdb-0.9.6,0.196540941,None,0
Neo4j,-0.046212288,0.05,0.95
Neo4j,-0.052444871,0.05,0.9
Neo4j,-0.053987724,0.01,0.85
Neo4j,-0.063471567,0.01,0.8
Neo4j,-0.063242463,0.01,0.75
Neo4j,-0.067465457,0.01,0.7
Neo4j,-0.067219862,0.01,0.65
Neo4j,-0.07155683,0.01,0.6
Neo4j,-0.07155683,0.01,0.55
Neo4j,-0.07155683,0.01,0.5
Neo4j,-0.07155683,0.01,0.45
Neo4j,-0.07155683,0.01,0.4
Neo4j,-0.07155683,0.01,0.35
Neo4j,-0.07155683,0.01,0.3
Neo4j,-0.07155683,0.01,0.25
Neo4j,-0.07155683,0.01,0.2
Neo4j,-0.07155683,0.01,0.15
Neo4j,-0.07155683,0.01,0.1
Neo4j,-0.07155683,0.01,0.05
Neo4j,-0.069903905,0.01,0
Netty,0.025462917,None,0.95
Netty,0.051095278,None,0.9
Netty,0.030255797,None,0.85
Netty,0.036058587,None,0.8
Netty,0.02833884,None,0.75
Netty,0.023349654,None,0.7
Netty,0.020189005,None,0.65
Netty,0.017251677,None,0.6
Netty,0.021834714,None,0.55
Netty,0.021834714,None,0.5
Netty,0.021834714,None,0.45
Netty,0.021834714,None,0.4
Netty,0.021834714,None,0.35
Netty,0.021834714,None,0.3
Netty,0.021834714,None,0.25
Netty,0.021834714,None,0.2
Netty,0.021834714,None,0.15
Netty,0.021834714,None,0.1
Netty,0.021834714,None,0.05
Netty,0.02215255,None,0
ant-1.7,0.302471058,0.01,0.95
ant-1.7,0.394670241,0.01,0.9
ant-1.7,0.429535614,0.01,0.85
ant-1.7,0.411377179,0.01,0.8
ant-1.7,0.413826567,0.01,0.75
ant-1.7,0.425573245,0.01,0.7
ant-1.7,0.425317494,0.01,0.65
ant-1.7,0.426740884,0.01,0.6
ant-1.7,0.426740884,0.01,0.55
ant-1.7,0.426740884,0.01,0.5
ant-1.7,0.426740884,0.01,0.45
ant-1.7,0.426740884,0.01,0.4
ant-1.7,0.426740884,0.01,0.35
ant-1.7,0.426740884,0.01,0.3
ant-1.7,0.426740884,0.01,0.25
ant-1.7,0.426740884,0.01,0.2
ant-1.7,0.426740884,0.01,0.15
ant-1.7,0.426740884,0.01,0.1
ant-1.7,0.426740884,0.01,0.05
ant-1.7,0.421289948,0.01,0
camel-1.0,0.21092293,0.01,0.95
camel-1.0,0.179811121,0.01,0.9
camel-1.0,0.187188314,0.01,0.85
camel-1.0,0.199778853,0.01,0.8
camel-1.0,0.187790543,0.01,0.75
camel-1.0,0.181769097,0.01,0.7
camel-1.0,0.198738901,0.01,0.65
camel-1.0,0.196839341,0.01,0.6
camel-1.0,0.196846559,0.01,0.55
camel-1.0,0.196846559,0.01,0.5
camel-1.0,0.196846559,0.01,0.45
camel-1.0,0.196846559,0.01,0.4
camel-1.0,0.196846559,0.01,0.35
camel-1.0,0.196846559,0.01,0.3
camel-1.0,0.196846559,0.01,0.25
camel-1.0,0.196846559,0.01,0.2
camel-1.0,0.196846559,0.01,0.15
camel-1.0,0.196846559,0.01,0.1
camel-1.0,0.196846559,0.01,0.05
camel-1.0,0.198348898,0.01,0
ivy-2.0,0.209402283,0.01,0.95
ivy-2.0,0.272451959,0.01,0.9
ivy-2.0,0.318688568,0.01,0.85
ivy-2.0,0.32850472,0.01,0.8
ivy-2.0,0.337680935,0.01,0.75
ivy-2.0,0.335452647,0.01,0.7
ivy-2.0,0.334525349,0.01,0.65
ivy-2.0,0.334525349,0.01,0.6
ivy-2.0,0.334525349,0.01,0.55
ivy-2.0,0.332688712,0.01,0.5
ivy-2.0,0.332688712,0.01,0.45
ivy-2.0,0.332688712,0.01,0.4
ivy-2.0,0.332688712,0.01,0.35
ivy-2.0,0.332688712,0.01,0.3
ivy-2.0,0.332688712,0.01,0.25
ivy-2.0,0.332688712,0.01,0.2
ivy-2.0,0.332688712,0.01,0.15
ivy-2.0,0.332688712,0.01,0.1
ivy-2.0,0.332688712,0.01,0.05
ivy-2.0,0.335764427,0.01,0
jedit-4.2,0.32036942,0.01,0.95
jedit-4.2,0.298703151,0.01,0.9
jedit-4.2,0.338120114,0.01,0.85
jedit-4.2,0.350283863,0.01,0.8
jedit-4.2,0.353372895,0.01,0.75
jedit-4.2,0.356771191,0.01,0.7
jedit-4.2,0.364637865,0.01,0.65
jedit-4.2,0.376292354,0.01,0.6
jedit-4.2,0.376292354,0.01,0.55
jedit-4.2,0.376292354,0.01,0.5
