software,spearman,spearman_pvalue,>=R2
Android,-0.22778183,None,0.95
Android,-0.222592916,None,0.9
Android,-0.219168899,None,0.85
Android,-0.234131233,None,0.8
Android,-0.234131233,None,0.75
Android,-0.234131233,None,0.7
Android,-0.234131233,None,0.65
Android,-0.234131233,None,0.6
Android,-0.234131233,None,0.55
Android,-0.234131233,None,0.5
Android,-0.234131233,None,0.45
Android,-0.234131233,None,0.4
Android,-0.234131233,None,0.35
Android,-0.234131233,None,0.3
Android,-0.234131233,None,0.25
Android,-0.234131233,None,0.2
Android,-0.234131233,None,0.15
Android,-0.234131233,None,0.1
Android,-0.234131233,None,0.05
Android,-0.230515116,None,0
hazelcast-3.3,0.007875411,None,0.95
hazelcast-3.3,-0.005316076,None,0.9
hazelcast-3.3,-0.023257191,None,0.85
hazelcast-3.3,-0.030658198,None,0.8
hazelcast-3.3,-0.037215033,None,0.75
hazelcast-3.3,-0.04184176,None,0.7
hazelcast-3.3,-0.044604986,None,0.65
hazelcast-3.3,-0.045693824,0.05,0.6
hazelcast-3.3,-0.047074515,0.05,0.55
hazelcast-3.3,-0.047074515,0.05,0.5
hazelcast-3.3,-0.047074515,0.05,0.45
hazelcast-3.3,-0.047074515,0.05,0.4
hazelcast-3.3,-0.047074515,0.05,0.35
hazelcast-3.3,-0.04700607,0.05,0.3
hazelcast-3.3,-0.04700607,0.05,0.25
hazelcast-3.3,-0.04700607,0.05,0.2
hazelcast-3.3,-0.04700607,0.05,0.15
hazelcast-3.3,-0.04700607,0.05,0.1
hazelcast-3.3,-0.04700607,0.05,0.05
hazelcast-3.3,-0.045752033,0.05,0
JUnit,0.055688722,None,0.95
JUnit,0.099138709,None,0.9
JUnit,0.095544428,None,0.85
JUnit,0.090933425,None,0.8
JUnit,0.090933425,None,0.75
JUnit,0.090871003,None,0.7
JUnit,0.090871003,None,0.65
JUnit,0.090871003,None,0.6
JUnit,0.090871003,None,0.55
JUnit,0.090871003,None,0.5
JUnit,0.090871003,None,0.45
JUnit,0.090871003,None,0.4
JUnit,0.090871003,None,0.35
JUnit,0.090871003,None,0.3
JUnit,0.090871003,None,0.25
JUnit,0.090871003,None,0.2
JUnit,0.090871003,None,0.15
JUnit,0.090871003,None,0.1
JUnit,0.090871003,None,0.05
JUnit,0.085325781,None,0
mapdb-0.9.6,0.114345719,None,0.95
mapdb-0.9.6,0.129204808,None,0.9
mapdb-0.9.6,0.124277422,None,0.85
mapdb-0.9.6,0.106220605,None,0.8
mapdb-0.9.6,0.089725678,None,0.75
mapdb-0.9.6,0.090266159,None,0.7
mapdb-0.9.6,0.085926313,None,0.65
mapdb-0.9.6,0.085926313,None,0.6
mapdb-0.9.6,0.085926313,None,0.55
mapdb-0.9.6,0.085926313,None,0.5
mapdb-0.9.6,0.085926313,None,0.45
mapdb-0.9.6,0.085926313,None,0.4
mapdb-0.9.6,0.085926313,None,0.35
mapdb-0.9.6,0.085926313,None,0.3
mapdb-0.9.6,0.085926313,None,0.25
mapdb-0.9.6,0.085926313,None,0.2
mapdb-0.9.6,0.085926313,None,0.15
mapdb-0.9.6,0.085926313,None,0.1
mapdb-0.9.6,0.085926313,None,0.05
mapdb-0.9.6,0.088464869,None,0
Neo4j,0.020750621,None,0.95
Neo4j,0.015078708,None,0.9
Neo4j,0.018239325,None,0.85
Neo4j,0.019742347,None,0.8
Neo4j,0.019576775,None,0.75
Neo4j,0.015409489,None,0.7
Neo4j,0.015031556,None,0.65
Neo4j,0.017000652,None,0.6
Neo4j,0.017000652,None,0.55
Neo4j,0.017000652,None,0.5
Neo4j,0.017000652,None,0.45
Neo4j,0.017000652,None,0.4
Neo4j,0.017000652,None,0.35
Neo4j,0.017000652,None,0.3
Neo4j,0.017000652,None,0.25
Neo4j,0.017000652,None,0.2
Neo4j,0.017000652,None,0.15
Neo4j,0.017000652,None,0.1
Neo4j,0.017000652,None,0.05
Neo4j,0.017845025,None,0
Netty,0.22351184,0.01,0.95
Netty,0.220097708,0.01,0.9
Netty,0.194952272,0.01,0.85
Netty,0.176878254,0.01,0.8
Netty,0.175709391,0.01,0.75
Netty,0.175013464,0.01,0.7
Netty,0.175213599,0.01,0.65
Netty,0.173350428,0.01,0.6
Netty,0.174836423,0.01,0.55
Netty,0.174836423,0.01,0.5
Netty,0.174836423,0.01,0.45
Netty,0.174836423,0.01,0.4
Netty,0.174836423,0.01,0.35
Netty,0.174836423,0.01,0.3
Netty,0.174836423,0.01,0.25
Netty,0.174836423,0.01,0.2
Netty,0.174836423,0.01,0.15
Netty,0.174836423,0.01,0.1
Netty,0.174836423,0.01,0.05
Netty,0.18039908,0.01,0
ant-1.7,-0.002074484,None,0.95
ant-1.7,0.038963007,None,0.9
ant-1.7,0.056153655,None,0.85
ant-1.7,0.055643943,None,0.8
ant-1.7,0.058040255,None,0.75
ant-1.7,0.043405264,None,0.7
ant-1.7,0.042838254,None,0.65
ant-1.7,0.036328451,None,0.6
ant-1.7,0.036328451,None,0.55
ant-1.7,0.036328451,None,0.5
ant-1.7,0.036328451,None,0.45
ant-1.7,0.036328451,None,0.4
