software,spearman,spearman_pvalue,>=R2
Android,-0.192143621,None,0.95
Android,-0.14983347,None,0.9
Android,-0.09210575,None,0.85
Android,-0.102864881,None,0.8
Android,-0.102864881,None,0.75
Android,-0.102864881,None,0.7
Android,-0.102864881,None,0.65
Android,-0.102864881,None,0.6
Android,-0.102864881,None,0.55
Android,-0.102864881,None,0.5
Android,-0.102864881,None,0.45
Android,-0.102864881,None,0.4
Android,-0.102864881,None,0.35
Android,-0.102864881,None,0.3
Android,-0.102864881,None,0.25
Android,-0.102864881,None,0.2
Android,-0.102864881,None,0.15
Android,-0.102864881,None,0.1
Android,-0.102864881,None,0.05
Android,-0.086937908,None,0
hazelcast-3.3,-0.115583844,0.01,0.95
hazelcast-3.3,-0.101916062,0.01,0.9
hazelcast-3.3,-0.100718693,0.01,0.85
hazelcast-3.3,-0.095303705,0.01,0.8
hazelcast-3.3,-0.089947394,0.01,0.75
hazelcast-3.3,-0.092449148,0.01,0.7
hazelcast-3.3,-0.092863394,0.01,0.65
hazelcast-3.3,-0.093141749,0.01,0.6
hazelcast-3.3,-0.093531296,0.01,0.55
hazelcast-3.3,-0.093531296,0.01,0.5
hazelcast-3.3,-0.093531296,0.01,0.45
hazelcast-3.3,-0.093531296,0.01,0.4
hazelcast-3.3,-0.093531296,0.01,0.35
hazelcast-3.3,-0.093417958,0.01,0.3
hazelcast-3.3,-0.093417958,0.01,0.25
hazelcast-3.3,-0.093417958,0.01,0.2
hazelcast-3.3,-0.093417958,0.01,0.15
hazelcast-3.3,-0.093417958,0.01,0.1
hazelcast-3.3,-0.093417958,0.01,0.05
hazelcast-3.3,-0.092668816,0.01,0
JUnit,-0.074653855,None,0.95
JUnit,-0.081797956,None,0.9
JUnit,-0.095870576,None,0.85
JUnit,-0.094382444,None,0.8
JUnit,-0.094382444,None,0.75
JUnit,-0.096068316,None,0.7
JUnit,-0.096068316,None,0.65
JUnit,-0.096068316,None,0.6
JUnit,-0.096068316,None,0.55
JUnit,-0.096068316,None,0.5
JUnit,-0.096068316,None,0.45
JUnit,-0.096068316,None,0.4
JUnit,-0.096068316,None,0.35
JUnit,-0.096068316,None,0.3
JUnit,-0.096068316,None,0.25
JUnit,-0.096068316,None,0.2
JUnit,-0.096068316,None,0.15
JUnit,-0.096068316,None,0.1
JUnit,-0.096068316,None,0.05
JUnit,-0.090277644,None,0
mapdb-0.9.6,-0.024701309,None,0.95
mapdb-0.9.6,0.037621912,None,0.9
mapdb-0.9.6,0.014438328,None,0.85
mapdb-0.9.6,-0.013542158,None,0.8
mapdb-0.9.6,-0.007777456,None,0.75
mapdb-0.9.6,-0.036331313,None,0.7
mapdb-0.9.6,-0.03435293,None,0.65
mapdb-0.9.6,-0.03435293,None,0.6
mapdb-0.9.6,-0.03435293,None,0.55
mapdb-0.9.6,-0.03435293,None,0.5
mapdb-0.9.6,-0.03435293,None,0.45
mapdb-0.9.6,-0.03435293,None,0.4
mapdb-0.9.6,-0.03435293,None,0.35
mapdb-0.9.6,-0.03435293,None,0.3
mapdb-0.9.6,-0.03435293,None,0.25
mapdb-0.9.6,-0.03435293,None,0.2
mapdb-0.9.6,-0.03435293,None,0.15
mapdb-0.9.6,-0.03435293,None,0.1
mapdb-0.9.6,-0.03435293,None,0.05
mapdb-0.9.6,-0.032422008,None,0
Neo4j,-0.037438999,None,0.95
Neo4j,-0.04410816,0.05,0.9
Neo4j,-0.045828324,0.05,0.85
Neo4j,-0.047344676,0.05,0.8
Neo4j,-0.04684604,0.05,0.75
Neo4j,-0.047712291,0.05,0.7
Neo4j,-0.047519352,0.05,0.65
Neo4j,-0.048491203,0.05,0.6
Neo4j,-0.048491203,0.05,0.55
Neo4j,-0.048491203,0.05,0.5
Neo4j,-0.048491203,0.05,0.45
Neo4j,-0.048491203,0.05,0.4
Neo4j,-0.048491203,0.05,0.35
Neo4j,-0.048491203,0.05,0.3
Neo4j,-0.048491203,0.05,0.25
Neo4j,-0.048491203,0.05,0.2
Neo4j,-0.048491203,0.05,0.15
Neo4j,-0.048491203,0.05,0.1
Neo4j,-0.048491203,0.05,0.05
Neo4j,-0.047532546,0.05,0
Netty,-0.176738857,0.01,0.95
Netty,-0.140428464,0.01,0.9
Netty,-0.147929025,0.01,0.85
Netty,-0.140761696,0.01,0.8
Netty,-0.138260635,0.01,0.75
Netty,-0.135075059,0.01,0.7
Netty,-0.135582435,0.01,0.65
Netty,-0.134544282,0.01,0.6
Netty,-0.135606951,0.01,0.55
Netty,-0.135606951,0.01,0.5
Netty,-0.135606951,0.01,0.45
Netty,-0.135606951,0.01,0.4
Netty,-0.135606951,0.01,0.35
Netty,-0.135606951,0.01,0.3
Netty,-0.135606951,0.01,0.25
Netty,-0.135606951,0.01,0.2
Netty,-0.135606951,0.01,0.15
Netty,-0.135606951,0.01,0.1
Netty,-0.135606951,0.01,0.05
Netty,-0.115984565,0.01,0
ant-1.7,0.038270362,None,0.95
ant-1.7,0.055622244,None,0.9
ant-1.7,0.081672354,None,0.85
ant-1.7,0.087641402,0.05,0.8
ant-1.7,0.092459233,0.05,0.75
ant-1.7,0.086286273,0.05,0.7
ant-1.7,0.086496303,0.05,0.65
ant-1.7,0.083700179,0.05,0.6
ant-1.7,0.083700179,0.05,0.55
ant-1.7,0.083700179,0.05,0.5
ant-1.7,0.083700179,0.05,0.45
ant-1.7,0.083700179,0.05,0.4
ant-1.7,0.083700179,0.05,0.35
ant-1.7,0.083700179,0.05,0.3
ant-1.7,0.083700179,0.05,0.25
ant-1.7,0.083700179,0.05,0.2
ant-1.7,0.083700179,0.05,0.15
ant-1.7,0.083700179,0.05,0.1
ant-1.7,0.083700179,0.05,0.05
ant-1.7,0.089907104,0.05,0
camel-1.0,0.01774906,None,0.95
camel-1.0,0.010572671,None,0.9
camel-1.0,0.059765012,None,0.85
camel-1.0,0.080294039,None,0.8
camel-1.0,0.080136276,None,0.75
camel-1.0,0.081454998,None,0.7
camel-1.0,0.124262106,0.05,0.65
camel-1.0,0.1245032,0.05,0.6
camel-1.0,0.124742462,0.05,0.55
camel-1.0,0.124742462,0.05,0.5
camel-1.0,0.124742462,0.05,0.45
camel-1.0,0.124742462,0.05,0.4
camel-1.0,0.124742462,0.05,0.35
camel-1.0,0.124742462,0.05,0.3
camel-1.0,0.124742462,0.05,0.25
camel-1.0,0.124742462,0.05,0.2
camel-1.0,0.124742462,0.05,0.15
camel-1.0,0.124742462,0.05,0.1
camel-1.0,0.124742462,0.05,0.05
camel-1.0,0.119540163,0.05,0
ivy-2.0,-0.108030518,None,0.95
ivy-2.0,-0.126598008,0.05,0.9
ivy-2.0,-0.064446723,None,0.85
ivy-2.0,-0.039279176,None,0.8
ivy-2.0,-0.03099151,None,0.75
ivy-2.0,-0.038507408,None,0.7
ivy-2.0,-0.038026299,None,0.65
ivy-2.0,-0.038026299,None,0.6
ivy-2.0,-0.038026299,None,0.55
ivy-2.0,-0.03754862,None,0.5
ivy-2.0,-0.03754862,None,0.45
ivy-2.0,-0.03754862,None,0.4
ivy-2.0,-0.03754862,None,0.35
ivy-2.0,-0.03754862,None,0.3
ivy-2.0,-0.03754862,None,0.25
ivy-2.0,-0.03754862,None,0.2
ivy-2.0,-0.03754862,None,0.15
ivy-2.0,-0.03754862,None,0.1
ivy-2.0,-0.03754862,None,0.05
ivy-2.0,-0.042591727,None,0
jedit-4.2,0.091786042,None,0.95
jedit-4.2,0.040799931,None,0.9
jedit-4.2,0.008182561,None,0.85
jedit-4.2,0.019257688,None,0.8
jedit-4.2,0.004492349,None,0.75
jedit-4.2,0.002861744,None,0.7
jedit-4.2,0.000443867,None,0.65
jedit-4.2,0.022672256,None,0.6
jedit-4.2,0.022672256,None,0.55
jedit-4.2,0.022672256,None,0.5
jedit-4.2,0.022672256,None,0.45
jedit-4.2,0.022672256,None,0.4
jedit-4.2,0.022672256,None,0.35
jedit-4.2,0.022672256,None,0.3
jedit-4.2,0.022672256,None,0.25
jedit-4.2,0.022672256,None,0.2
jedit-4.2,0.022672256,None,0.15
jedit-4.2,0.022672256,None,0.1
jedit-4.2,0.022672256,None,0.05
jedit-4.2,0.023057379,None,0
lucene-2.2,0.003557785,None,0.95
lucene-2.2,-0.026529148,None,0.9
lucene-2.2,-0.034143415,None,0.85
lucene-2.2,-0.023752896,None,0.8
lucene-2.2,-0.004953352,None,0.75
lucene-2.2,-0.006352538,None,0.7
lucene-2.2,-0.006352538,None,0.65
lucene-2.2,-0.006352538,None,0.6
lucene-2.2,-0.006352538,None,0.55
lucene-2.2,-0.006352538,None,0.5
lucene-2.2,-0.006352538,None,0.45
lucene-2.2,-0.006352538,None,0.4
lucene-2.2,-0.006352538,None,0.35
lucene-2.2,-0.006352538,None,0.3
lucene-2.2,-0.006352538,None,0.25
lucene-2.2,-0.006352538,None,0.2
lucene-2.2,-0.006352538,None,0.15
lucene-2.2,-0.006352538,None,0.1
lucene-2.2,-0.006352538,None,0.05
lucene-2.2,-0.001595084,None,0
poi-2.0,0.067373793,None,0.95
